Time,Relaxation modulus
1e-09,999714119.7914668
1.4508287784959373e-09,999704088.2152449
2.104904144512022e-09,999689534.3952414
3.0538555088334124e-09,999668419.8825908
4.4306214575838865e-09,999637787.5781481
6.428073117284319e-09,999593347.9553567
9.32603346883218e-09,999528879.156717
1.3530477745798075e-08,999435357.5123448
1.9630406500402724e-08,999299697.913986
2.848035868435805e-08,999102930.1894406
4.132012400115334e-08,998817561.4845672
5.99484250318941e-08,998403766.6620182
8.697490026177834e-08,997803897.2041956
1.261856883066021e-07,996934590.0768611
1.8307382802953697e-07,995675477.2610382
2.656087782946684e-07,993853136.08968
3.853528593710535e-07,991218493.8171635
5.590810182512223e-07,987415477.7513416
8.111308307896872e-07,981938486.6213292
1.1768119524349991e-06,974076727.8870836
1.7073526474706922e-06,962845635.9797901
2.477076355991714e-06,946911421.5818484
3.5938136638046257e-06,924527663.8530935
5.214008287999695e-06,893527395.5464474
7.564633275546291e-06,851453649.5865513
1.0974987654930568e-05,795958157.6822171
1.5922827933410938e-05,725609747.8483121
2.3101297000831627e-05,641123156.5957007
3.351602650938848e-05,546594787.9953767
4.8626015800653536e-05,449668336.95928305
7.054802310718646e-05,359428999.01586515
0.00010235310218990269,282539634.76496875
0.00014849682622544664,220804496.189109
0.00021544346900318867,172432426.12688237
0.0003125715849688242,134719500.51420254
0.00045348785081285916,105328590.85654159
0.0006579332246575682,82423470.57415706
0.0009545484566618347,64572857.53631171
0.0013848863713938745,50661318.88491574
0.00200923300256505,39819570.840814166
0.0029150530628251816,31370158.892160945
0.004229242874389507,24785125.119914696
0.006135907273413176,19653017.365119677
0.008902150854450393,15653178.69938102
0.012915496650148853,12535710.59486597
0.01873817422860387,10105857.731097985
0.027185882427329458,8211838.677458053
0.03944206059437664,6735362.018314749
0.0572236765935022,5584235.297582097
0.08302175681319753,4686604.937429978
0.12045035402587836,3986467.203959821
0.17475284000076902,3440169.719619359
0.25353644939701164,3013684.9212443763
0.36783797718286343,2680485.101876732
0.5336699231206323,2419886.268333326
0.7742636826811278,2215757.344092942
1.1233240329780312,2055514.0792173548
1.6297508346206468,1929334.822509975
2.364489412645407,1829549.1778688107
3.430469286314926,1750161.373374636
4.9770235643321135,1686478.5934198333
7.220809018385486,1634821.0874715392
10.476157527896662,1592295.9841056336
15.199110829529394,1556620.7255079057
22.051307399030502,1525985.1450015972
31.992671377973846,1498943.632729402
46.415888336127914,1474330.7240841086
67.34150657750828,1451194.9203351943
97.70099572992287,1428746.7038773065
141.74741629268075,1406317.6144758132
205.651230834866,1383327.965395239
298.36472402833465,1359261.3454206695
432.87612810830615,1333644.5120625931
628.0291441834272,1306031.6642348238
911.1627561154905,1275992.4171632433
1321.941148466034,1243103.1140369154
1917.9102616724927,1206941.4233918271
2782.559402207126,1167084.5144811785
4037.017258596566,1123111.501442391
5857.020818056673,1074611.325214923
8497.534359086472,1021197.8142870269
12328.467394420684,962534.3186970768
17886.495290574425,898370.9722466813
25950.242113997425,828598.1089876238
37649.35806792471,753319.2236023631
54622.772176843595,672945.3450346915
79248.28983539186,588308.5186356036
114975.69953977404,500783.50343156233
166810.05372000625,412392.0106520995
242012.82647943933,325842.59792065324
351119.17342151416,244436.35123474628
509413.80148163857,171758.3682460261
739072.2033525805,111105.80055681097
1072267.2220103254,64707.76744064903
1555676.1439304787,32973.27790854581
2257019.719633926,14171.280048584078
3274549.1628777315,4900.3125020645075
4750810.162102813,1283.2942549700103
6892612.104349709,235.50214224648454
10000000.0,27.414009045619284
