Tau,Spectrum modulus (htau)
1.8000000000000017e-05,668771353.8906767
1.8536596229386846e-05,655737700.0358698
1.908918887618435e-05,642958058.7010069
1.9658254808018473e-05,630427479.4452739
2.024428510836893e-05,618141108.3068405
2.0847785500356856e-05,606094185.9225798
2.1469276783165574e-05,594282045.68444
2.2109295281471618e-05,582700111.9317433
2.276839330827376e-05,571343898.1787151
2.3447139641519093e-05,560209005.376561
2.414612001493829e-05,549291120.2094043
2.4865937623512607e-05,538586013.4234444
2.560721364400955e-05,528089538.1886731
2.6370587771036185e-05,517797628.49251854
2.715671876907243e-05,507706297.5648006
2.7966285040961476e-05,497811636.33337414
2.8799985213346875e-05,488109811.90987754
2.965853873956234e-05,478597066.10498863
3.05426865204942e-05,469269713.9726173
3.145319154395204e-05,460124142.382473
3.239083954310017e-05,451156808.6204455
3.335643967451691e-05,442364239.01626855
3.435082521646774e-05,433743027.59792674
3.5374854287994624e-05,425289834.7722854
3.6429410589441644e-05,417001386.0314375
3.7515404165057144e-05,408874470.68425655
3.863377218832895e-05,400905940.6126755
3.978547977073165e-05,393092709.05220187
4.097152079458279e-05,385431749.39620185
4.219291877072819e-05,377920094.023483
4.3450727721794716e-05,370554833.1487306
4.4746033091774094e-05,363333113.6953463
4.6079952682722204e-05,356252138.1902532
4.745363761938177e-05,349309163.6802428
4.886827334256228e-05,342501500.6694357
5.032508063213249e-05,335826512.0774564
5.182531666050974e-05,329281612.2179083
5.337027607755473e-05,322864265.79675794
5.4961292127807504e-05,316571986.9302419
5.659973780103026e-05,310402338.18190855
5.8287027017047805e-05,304352929.618433
6.002461584590981e-05,298421417.8838285
6.181400376442706e-05,292605505.2917029
6.365673495016566e-05,286902938.93520707
6.555439961401763e-05,281311509.8143249
6.750863537249537e-05,275829051.98017687
6.952112866093599e-05,270453441.6959971
7.159361618883474e-05,265182596.61446312
7.372788643856233e-05,260014474.97105923
7.592578120876193e-05,254947074.79315805
7.818919720375477e-05,249978433.124519
8.052008767032815e-05,245106625.26489857
8.292046408331675e-05,240329764.0244821
8.539239788143419e-05,235645998.99284205
8.79380222548496e-05,231053515.82214764
9.055953398605444e-05,226550535.52434137
9.325919534560714e-05,222135313.78201368
9.603933604439062e-05,217806140.27270907
9.890235524407032e-05,213561338.00639778
0.00010185072362748391,209399262.67586258
0.00010488698553075212,205318302.01974443
0.0001080137611389496,201316875.1980016
0.00011123374874723026,197393432.17954138
0.00011454972708935945,193546453.14178503
0.00011796455773566172,189774447.88193515
0.000121481187562453,186075955.23971698
0.00012510265129508891,182449542.53137016
0.00012883207412682458,178893804.99467015
0.0001326726744157434,175407365.24476722
0.0001366277664620853,171988872.7406294
0.00014070076336836874,168637003.261884
0.00014489517998477513,165350458.39585635
0.0001492146359423395,162127965.03460327
0.00015366285877656106,158968274.8817509
0.00015824368714413347,155870163.96894264
0.00016296107413556757,152832432.18171135
0.00016781909068656607,149853902.79459214
0.0001728219290910961,146933422.01529422
0.00017797390661918722,144069858.53775814
0.00018327946924258164,141262103.1039216
0.00018874319547144787,138509068.0740274
0.0001943698003054701,135809687.00530502
0.00020016413930272508,133162914.23886298
0.00020613121276985297,130567724.4946335
0.00021227617007714392,128023112.47420937
0.0002186043141022593,125528092.47142267
0.00022512110580642433,123081697.99051256
0.00023183216894704213,120682981.37173413
0.00023874329493079506,118331013.42426388
0.0002458604478114202,116024883.06625998
0.0002531897694364741,113763696.97193678
0.00026073758474752615,111546579.22551806
0.00026851040723835677,109372670.98193379
0.00027651494457586924,107241130.13412976
0.00028475810438856477,105151130.98686132
0.00029324700022757865,103101863.93684408
0.0003019889577054188,101092535.15913852
0.00031099152081770693,99122366.29964645
0.00032026245845337675,97190594.17360024
0.0003298097710989455,95296470.46992849
0.00033964169774264736,93439261.46138321
0.00034976672298438357,91618247.72031637
0.00036019358435762845,89832723.83999549
0.0003709312798696079,88081998.16135053
0.0003819890757662558,86365392.50504646
0.00039337651452865245,84682241.9087771
0.0004051034231078422,83031894.36967932
0.0004171799214051402,81413710.59176674
0.00042961643100524534,79827063.738286
0.0004424236841696921,78271339.18889938
0.0004556127330984084,76745934.3015996
0.0004691949594673663,75250258.17926478
0.0004831820842505605,73783731.44076276
0.0004975861778347894,72345785.99651647
0.000512419670435965,70935864.82844341
0.0005276953628259416,69553421.77418394
0.0005434264373791264,68197921.31553425
0.0005596264694483907,66868838.3710033
0.0005763094390801167,65565658.09241193
0.0005934897430784745,64287875.66545635
0.0006111822074293449,63034996.11415874
0.000629402100094618,61806534.10912815
0.0006481651441878915,60602013.779559
0.0006674875315429578,59420968.52889293
0.0006873859366867736,58262940.85407355
0.0007078775312289775,57127482.16832372
0.0007289799986803734,56014152.62737659
0.000750711549713168,54922520.95909312
0.0007730909378761252,53852164.296400525
0.0007961374757782069,52802668.01348621
0.0008198710517546596,51773625.56518449
0.0008443121470299354,50764638.32949316
0.0008694818533922554,49775315.45315933
0.000895401891395064,48805273.700274825
0.0009220946291010886,47854137.30382206
0.0009495831013851724,46921537.82011341
0.0009778910298125466,46007113.98606713
0.0010070428431096917,45110511.579264894
0.0010370636982454504,44231383.28073679
0.0010679795021405886,43369388.540420376
0.0010998169340245376,42524193.44524195
0.0011326034684586124,41695470.589768566
0.0011663673990455756,40882898.94938101
0.0012011378628459966,40086163.75591857
0.001236944865522493,39304956.37574725
0.001273819307233537,38538974.1902045
0.0013117930092991848,37787920.47837366
0.0013508987416617371,37051504.30214326
0.0013911702511650204,36329440.393506266
0.001432642290676704,35621449.04405581
0.0014753506490787739,34927255.99663461
0.001519332182152056,34246592.339095816
0.0015646248443814369,33579194.40013448
0.001611267721709218,32924803.64714923
0.0016593010652648777,32283166.586094458
0.0017087663261003618,31654034.66328414
0.0017597061909608415,31037164.169109732
0.0018121646191218554,30432316.143634126
0.0018661868803245797,29839256.28402574
0.0019218195938419875,29257754.853796642
0.001979110768709619,28687586.593809247
0.002038109845155644,28128530.63501779
0.002098867737266016,27580370.412910044
0.0021614368769214964,27042893.583616674
0.0022258712590444807,26515891.94165555
0.002292226488194693,25999161.339278933
0.002360559826553909,25492501.607392807
0.002430930243341179,24995716.478017114
0.0025033984657011413,24508613.508257356
0.002578027031109364,24031004.00575789
0.0026548803413399555,23562702.95560796
0.0027340247180419686,23103528.948672388
0.002815528459972622,22653304.11131891
0.0028994619019366563,22211854.03651517
0.002985897475482766,21779007.71626846
0.0030749097714094192,21354597.47538219
0.0031665756041340306,20938458.906503428
0.0032609740779810693,20530430.80643616
0.003358186655446227,20130355.11369593
0.00345829722749565,19738076.84728128
0.003561392185960825,19353444.046638608
0.003667560498091619,18976307.71279705
0.0037768937833318472,18606521.750650465
0.0038894863923835377,18243942.91236445
0.0040054354886282255,17888430.741886146
0.004124841131975457,17539847.520535592
0.0042478063652108865,17198058.213657446
0.0043744373029185315,16862930.418312304
0.004504843223053819,16534334.311987644
0.004639136661246573,16212142.602308152
0.00477743350791519,15896230.477726297
0.004919853108275945,15586475.559173794
0.005066518365333614,15282757.852655381
0.0052175558459423435,14984959.702766534
0.005373095890028341,14692965.747116955
0.005533272723068512,14406662.871642455
0.005698224571922265,14125940.166787622
0.005868093784116319,13850688.884542542
0.006043026950685491,13580802.396316834
0.006223175032675544,13316176.15163457
0.006408693491417096,13056707.637634363
0.006599742422683225,12802296.33935857
0.00679648669484635,12552843.70081657
0.0069990960911537,12308253.086806841
0.007207745456244216,12068429.745483013
0.007422614847033143,11833280.771649588
