2.412e-8, 6.325e-5
3.636e-8, 2.242e-4
2.994e-8, 1.233e-4
6.761e-8, 6.865e-4
5.228e-8, 3.973e-4
1.024e-7, 1.282e-3
1.358e-7, 2.469e-3
1.968e-7, 4.936e-3
3.336e-7, 1.133e-2
5.748e-7, 4.444e-2
4.938e-7, 2.227e-2
9.547e-7, 8.904e-2
1.802e-6, 1.846e-1
4.328e-6, 3.049e-1
1.087e-5, 4.907e-1
2.847e-5, 5.986e-1
7.295e-5, 6.706e-1
1.991e-4, 7.455e-1
5.144e-4, 8.045e-1
1.325e-3, 8.436e-1
3.450e-3, 8.726e-1
8.984e-3, 9.166e-1
2.339e-2, 9.940e-1
6.091e-2, 1.045e+0
1.585e-1, 1.175e+0
4.130e-1, 1.178e+0
1.075e+0, 1.276e+0
2.965e+0, 1.509e+0
7.479e+0, 1.842e+0
1.918e+1, 2.406e+0
4.730e+1, 3.088e+0
1.095e+2, 5.044e+0
2.541e+2, 9.115e+0
4.122e+2, 1.778e+1
7.311e+2, 3.087e+1
1.237e+3, 4.824e+1
1.945e+3, 8.306e+1
3.499e+3, 1.232e+2
7.987e+3, 1.713e+2
2.299e+4, 3.074e+2
1.497e+4, 2.598e+2
4.745e+4, 3.685e+2
1.170e+5, 4.584e+2
3.053e+5, 5.246e+2
7.948e+5, 5.757e+2
2.070e+6, 6.180e+2
5.386e+6, 6.944e+2
9.841e+6, 7.496e+2
